"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8320","My first playwright script","chromium","2025-10-05","passed","2025-10-05","","uiBasics.spec.js","",""
"","4367","handle popups","chromium","2025-10-05","failed","2025-10-05","","popup.spec.js","",""
"","16210","Login","chromium","2025-10-05","passed","2025-10-05","","getbyloc.spec.js","",""
"","5968","Register user","chromium","2025-10-05","passed","2025-10-05","","client.spec.js","",""
"","6284","Handle child windows","chromium","2025-10-05","passed","2025-10-05","","client.spec.js","",""
"","10616","cypress test","chromium","2025-10-05","passed","2025-10-05","","client.spec.js","",""
"","30294","Visual Automation","chromium","2025-10-05","broken","2025-10-05","","uiBasics.spec.js","",""
"","6131","get by locators","chromium","2025-10-05","passed","2025-10-05","","getbyloc.spec.js","",""
"","7817","cypress test","chromium","2025-10-05","passed","2025-10-05","","getbyloc.spec.js","",""
"","30053","Login","chromium","2025-10-05","broken","2025-10-05","","webApi-1.spec.js","",""
"","6201","validate price","chromium","2025-10-05","failed","2025-10-05","","getbyloc.spec.js","",""
"","35030","test","chromium","2025-10-05","broken","2025-10-05","","kna-qa-author.spec.js","",""
"","30050","Login","chromium","2025-10-05","broken","2025-10-05","","client.spec.js","",""
"","3674","Click on register link","chromium","2025-10-05","passed","2025-10-05","","client.spec.js","",""
